timestamp,squat_reps,pushup_reps,left_curls,right_curls
2026-04-26 01:36:50,1,0,35,30
2026-04-26 02:34:14,3,0,4,2
2026-04-26 02:35:46,0,0,6,2
2026-04-26 02:38:33,0,0,5,5
